Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	contig N50 (bp)	scaffold N50 (bp)
Ovis canadensis	bighorn sheep	37174	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis	HLoviCan2	GCA_004026945.1	55973	69397
Ovis canadensis canadensis	bighorn sheep	112262	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis; Ovis canadensis	HLoviCan1	GCA_001039535.1	8067	100190483
Ovis nivicola lydekkeri	snow sheep	1867112	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis; Ovis nivicola	HLoviNivLyd1	GCA_903231385.1	1765443	2011554
Ovis orientalis	Asiatic mouflon	469796	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Ovis	HLoviOri1	GCA_014523465.1	42163491	103690580
Pachyuromys duprasi	fat-tailed gerbil	298894	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Pachyuromys	HLpacDup1	DNA Zoo Consortium	47150	70283636
Pan paniscus	pygmy chimpanzee	9597	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan	HLpanPan4	T2T primates	147028407	147028407
Pan paniscus	pygmy chimpanzee	9597	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan	panPan3	GCF_013052645.1	16579680	68246502
Pan troglodytes	chimpanzee	9598	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan	HLpanTro7	T2T primates	146288486	146288486
Pan troglodytes	chimpanzee	9598	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan	panTro6	GCF_002880755.1	12268567	53103722
Panthera leo	lion	9689	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera	HLpanLeo1	GCA_008795835.1	286703	136051765
Panthera onca	jaguar	9690	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera	HLpanOnc1	GCA_004023805.1	62836	116574
Panthera onca	jaguar	9690	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera	HLpanOnc2	DNA Zoo Consortium	50688	132627732
Panthera pardus	leopard	9691	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera	HLpanPar1	GCA_001857705.1	20993	21701857
Panthera tigris altaica	Amur tiger	74533	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera; Panthera tigris	panTig1	GCF_000464555.1	30032	8860407
Panthera uncia	snow leopard	29064	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Pantherinae; Panthera	HLpanUnc1	DNA Zoo Consortium	64649	141103905
Pantholops hodgsonii	chiru	59538	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Pantholops	panHod1	GCF_000400835.1	18674	2772860
Papio anubis	olive baboon	9555	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Papio	HLpapAnu5	GCA_008728515.1	1464978	140274886
Paradoxurus hermaphroditus	Asian palm civet	71117	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Viverridae; Paradoxurinae; Paradoxurus	HLparHer1	GCA_004024585.1	62870	71823
Pedetes capensis	springhare	10023	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Anomaluromorpha; Pedetidae; Pedetes	HLpedCap1	GCA_007922755.1	54009	74432
Peponocephala electra	melon-headed whale	103596	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Peponocephala	HLpepEle1	DNA Zoo Consortium	84444	102795557
Perognathus longimembris pacificus	Pacific pocket mouse	214514	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Castorimorpha; Heteromyidae; Perognathinae; Perognathus; Perognathus longimembris	HLperLonPac1	GCA_004363475.1	17686	24714
Peromyscus californicus insignis	California mouse	564181	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus; Peromyscus californicus	HLperCal2	GCA_007827085.2	32644	113663737
Peromyscus crinitus	canyon mouse	144753	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus	HLperCri1	DNA Zoo Consortium	138137	97468232
Peromyscus eremicus	cactus mouse	42410	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus	HLperEre1	GCA_902702925.1	64291	119957392
Peromyscus leucopus	white-footed mouse	10041	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus	HLperLeu1	GCA_004664715.1	4102727	4476954
Peromyscus maniculatus bairdii	prairie deer mouse	230844	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus; Peromyscus maniculatus	HLperManBai2	GCA_003704035.1	30111	115033041
Peromyscus nasutus	northern rock mouse	97212	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus	HLperNas1	DNA Zoo Consortium	19865	98054690
Peromyscus polionotus subgriseus	oldfield mouse	369710	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Peromyscus; Peromyscus polionotus	HLperPol1	GCA_003704135.2	13217	117603569
Petromus typicus	dassie-rat	10183	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Petromuridae; Petromus	HLpetTyp1	GCA_004026965.1	29916	35766
Phalanger gymnotis	ground cuscus	65615	Mammalia; Theria; Metatheria; Diprotodontia; Phalangeridae; Phalanger	HLphaGym1	DNA Zoo Consortium	27735	353051754
Phascolarctos cinereus	koala	38626	Mammalia; Theria; Metatheria; Diprotodontia; Phascolarctidae; Phascolarctos	HLphaCin1	GCA_002099425.1	11587828	11587828
Phataginus tricuspis	Tree pangolin	358128	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Phataginus	HLphaTri2	DNA Zoo Consortium	110271	46351422
Philantomba maxwellii	Maxwell's duiker	907741	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Cephalophinae; Philantomba	HLphiMax1	GCA_006410695.1	11377	383899
Phoca largha	spotted seal	39090	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Phoca	HLphoLar1	DNA Zoo Consortium	55127	142074308
Phoca vitulina	harbor seal	9720	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Phoca	HLphoVit1	GCA_004348235.1	283887	41024070
Phocoena phocoena	harbor porpoise	9742	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Phocoena	HLphoPho1	GCA_004363495.1	89111	115969
Phocoena phocoena	harbor porpoise	9742	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Phocoena	HLphoPho2	DNA Zoo Consortium	57591	97795164
Phocoena sinus	vaquita	42100	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Phocoena	HLphoSin1	GCA_008692025.1	20218762	115469292
Phocoena sinus	vaquita	42100	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Phocoena	HLphoSin1B	GCA_008692045.1	137866	137866
Phyllostomus discolor	pale spear-nosed bat	89673	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Phyllostominae; Phyllostomus	HLphyDis3	Bat1K published	15176516	171075004
Physeter catodon	sperm whale	9755	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Physeteridae; Physeter	HLphyCat2	GCA_002837175.2	42542	122182240
Physeter catodon	sperm whale	9755	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Physeteridae; Physeter	phyCat1	GCF_000472045.1	35257	427290
Piliocolobus tephrosceles	Ugandan red Colobus	591936	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Piliocolobus	HLpilTep2	GCA_002776525.3	98446	131283114
Pipistrellus kuhlii	Kuhl's pipistrelle	59472	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Pipistrellus	HLpipKuh2	Bat1K published	10239182	80237350
Pipistrellus pipistrellus	common pipistrelle	59474	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Pipistrellus	HLpipPip1	GCA_004026625.1	26707	33992
Pipistrellus pipistrellus	common pipistrelle	59474	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Pipistrellus	HLpipPip2	GCA_903992545.1	4446752	94929986
Pithecia pithecia	white-faced saki	43777	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Pitheciinae; Pithecia	HLpitPit1	GCA_004026645.1	63292	83104
Platanista minor	Indus River dolphin	48752	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Platanistidae; Platanista	HLplaMin1	GCA_004363435.1	20879	23933
Plecturocebus donacophilus	Bolivian titi	230833	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus	HLpleDon1	GCA_004027715.1	41149	46445
Pongo abelii	Sumatran orangutan	9601	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Ponginae; Pongo	HLponAbe4	T2T primates	146197178	146197178
Pongo abelii	Sumatran orangutan	9601	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Ponginae; Pongo	ponAbe3	GCF_002880775.1	11074009	98475126
Pontoporia blainvillei	franciscana	48723	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Pontoporiidae; Pontoporia	HLponBla1	GCA_011754075.1	5888	6929
Potos flavus	kinkajou	29067	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Potos	HLpotFla1	DNA Zoo Consortium	64392	121721779
Prionailurus bengalensis euptilurus	Amur leopard cat	300877	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Prionailurus; Prionailurus bengalensis	HLpriBen1	GCA_005406085.1	21454	152598
Procapra przewalskii	Przewalski's gazelle	157668	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Procapra	HLproPrz1	GCA_006410515.1	10405	5522907
Procavia capensis	Cape rock hyrax	9813	Mammalia; Theria; Eutheria; Afrotheria; Hyracoidea; Procaviidae; Procavia	HLproCap3	GCA_004026925.2	38095	9071062
Procavia capensis	Cape rock hyrax	9813	Mammalia; Theria; Eutheria; Afrotheria; Hyracoidea; Procaviidae; Procavia	HLproCap4	DNA Zoo Consortium	29499	133724184
Procyon lotor	raccoon	9654	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Procyon	HLproLot1	DNA Zoo Consortium	33842	114539748
Prolemur simus	greater bamboo lemur	1328070	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Prolemur	HLproSim1	GCA_003258685.1	47757	2710671
Propithecus coquereli	Coquerel's sifaka	379532	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Indriidae; Propithecus	HLproCoq2	DNA Zoo Consortium	15309	148766566
Propithecus coquereli	Coquerels sifaka	379532	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Indriidae; Propithecus	proCoq1	GCF_000956105.1	28129	5604909
Przewalskium albirostris	white-lipped deer	1088058	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Przewalskium	HLprzAlb1	GCA_006408465.1	39627	3769372
Psammomys obesus	fat sand rat	48139	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Psammomys	HLpsaObe1	GCA_002215935.2	76389	10472398
Pseudocheirus occidentalis	Western ringtail oppossum	656515	Mammalia; Theria; Metatheria; Diprotodontia; Pseudocheiridae; Pseudocheirus	HLpseOcc1	DNA Zoo Consortium	24154	213462136
Pseudochirops corinnae	golden ringtail possum	65629	Mammalia; Theria; Metatheria; Diprotodontia; Pseudocheiridae; Pseudochirops	HLpseCor1	DNA Zoo Consortium	26628	209248263
Pseudochirops cupreus	coppery ringtail possum	37702	Mammalia; Theria; Metatheria; Diprotodontia; Pseudocheiridae; Pseudochirops	HLpseCup1	DNA Zoo Consortium	27606	425237964
Pseudomys desertor	brown desert mouse	221914	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Pseudomys	HLpseDes1	DNA Zoo Consortium	536677	103158894
Pteronotus parnellii	Parnells mustached bat	59476	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Mormoopidae; Pteronotus	ptePar1	GCA_000465405.1	9502	22675
Pteronura brasiliensis	giant otter	9672	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Pteronura	HLpteBra1	GCA_004024605.1	90879	119023
Pteronura brasiliensis	giant otter	9672	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Pteronura	HLpteBra2	DNA Zoo Consortium	97105	133376390
Pteropus alecto	black flying fox	9402	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Pteropus	pteAle1	GCF_000325575.1	31841	15954802
Pteropus giganteus	Indian flying fox	143291	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Pteropus	HLpteGig1	GCA_902729225.1	255763	18871253
Pteropus pselaphon	Bonin flying fox	1496133	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Pteropus	HLptePse1	GCA_014363405.1	394964	770409
Pteropus rufus	Malagasy flying fox	196297	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Pteropus	HLpteRuf1	GCA_028533765.1	213552	110476781
Pteropus vampyrus	large flying fox	132908	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Pteropus	HLpteVam2	GCA_000151845.2	21866	5954017
Puma concolor	puma	9696	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Puma	HLpumCon1	GCA_003327715.1	27187	100532876
Puma yagouaroundi	jaguarundi	1608482	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Puma	HLpumYag1	GCA_014898765.1	100211	49273425
Pygathrix nemaeus	Red shanked douc langur	54133	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Pygathrix	HLpygNem1	GCA_004024825.1	51434	68569
Rangifer tarandus	reindeer	9870	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Rangifer	HLranTar1	GCA_004026565.1	77671	89062
Rangifer tarandus granti	reindeer	191431	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Rangifer; Rangifer tarandus	HLranTarGra2	GCA_014898785.1	231342	9347320
Raphicerus campestris	steenbok	59544	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Raphicerus	HLrapCam1	GCA_006410735.1	25050	537161
Rattus norvegicus	Norway rat	10116	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus	HLratNor7	GCA_015227675.1	29198295	135012528
Rattus norvegicus	Norway rat	10116	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus	rn6	GCF_000001895.5	100461	14986627
Rattus norvegicus	Norway rat	10116	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus	rn7	GCF_015227675.2	29198295	135012528
Rattus rattus	black rat	10117	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus	HLratRat7	GCA_011064425.1	1635336	158824752
Redunca redunca	Bohar reedbuck	59556	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Reduncinae; Redunca	HLredRed1	GCA_006410935.1	39282	423407
Rhinoceros unicornis	greater Indian rhinoceros	9809	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Rhinoceros	HLrhiUni1	DNA Zoo Consortium	105321	56870999
Rhinolophus ferrumequinum	greater horseshoe bat	59479	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Rhinolophidae; Rhinolophinae; Rhinolophus	HLrhiFer5	Bat1K published	21749602	91996154
Rhinolophus sinicus	Chinese rufous horseshoe bat	89399	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Rhinolophidae; Rhinolophinae; Rhinolophus	HLrhiSin1	GCA_001888835.1	37803	3754400
Rhinopithecus bieti	black snub-nosed monkey	61621	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Rhinopithecus	rhiBie1	GCF_001698545.1	36417	2225337
Rhinopithecus roxellana	golden snub-nosed monkey	61622	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Rhinopithecus	HLrhiRox2	GCA_007565055.1	5723610	144559847
Rhizomys pruinosus	hoary bamboo rat	53275	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Spalacidae; Rhizomyinae; Rhizomys	HLrhiPru1	GCA_009823505.1	103291	2203772
Rhombomys opimus	great gerbil	186474	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Rhombomys	HLrhoOpi1	GCA_010120015.1	56880	3610217
Rousettus aegyptiacus	Egyptian rousette	9407	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Rousettus	HLrouAeg4	Bat1K published	21756723	113811795
Rousettus leschenaultii	Leschenault's rousette	9408	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Rousettus	HLrouLes1	GCA_015472975.1	40477	32720144
Rousettus madagascariensis	Madagascan rousette	77223	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Megachiroptera; Pteropodidae; Pteropodinae; Rousettus	HLrouMad1	GCA_028533395.1	63376	85834856
Saguinus imperator	tamarin	9491	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Saguinus	HLsagImp1	GCA_004024885.1	53787	65636
Saiga tatarica	saiga antelope	34875	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Saiga	HLsaiTat1	GCA_004024985.1	6406	6453
Saimiri boliviensis	Bolivian squirrel monkey	27679	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Saimiriinae; Saimiri	HLsaiBol1	DNA Zoo Consortium	46044	110640503
Saimiri boliviensis boliviensis	Bolivian squirrel monkey	39432	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Saimiriinae; Saimiri; Saimiri boliviensis	saiBol1	GCF_000235385.1	38823	18744880
Sapajus apella	Tufted capuchin	9515	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Sapajus	HLsapApe1	GCA_009761245.1	144042	23742480
Sarcophilus harrisii	Tasmanian devil	9305	Mammalia; Theria; Metatheria; Dasyuromorphia; Dasyuridae; Sarcophilus	HLsarHar2	GCA_902635505.1	62339597	611347268
Scalopus aquaticus	eastern mole	71119	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Talpidae; Scalopus	HLscaAqu1	GCA_004024925.1	72421	94879
Sciurus carolinensis	gray squirrel	30640	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Sciurinae; Sciurini; Sciurus	HLsciCar1	GCA_902686445.1	13975867	148229995
Sciurus vulgaris	Eurasian red squirrel	55149	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Sciurinae; Sciurini; Sciurus	HLsciVul1	GCA_902686455.1	16333633	153872958
Semnopithecus entellus	Hanuman langur	88029	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Semnopithecus	HLsemEnt1	GCA_004025065.1	25064	29955
Sigmodon hispidus	hispid cotton rat	42415	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Sigmodontinae; Sigmodon	HLsigHis1	GCA_004025045.1	67983	101373
Solenodon paradoxus	Hispaniolan solenodon	79805	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Solenodontidae; Solenodon	HLsolPar1	GCA_004363575.1	236847	407682
Sorex araneus	European shrew	42254	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Soricidae; Soricinae; Sorex	sorAra2	GCF_000181275.1	22623	22794405
Sousa chinensis	Indo-pacific humpbacked dolphin	103600	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Sousa	HLsouChi1	GCA_007760645.1	113766	19436979
Spermophilus dauricus	Daurian ground squirrel	99837	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Spermophilus	HLspeDau1	GCA_002406435.1	34849	1761345
Spilogale gracilis	western spotted skunk	30551	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mephitidae; Spilogale	HLspiGra1	GCA_004023965.1	63054	85970
Steno bredanensis	rough-toothed dolphin	46167	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Steno	HLsteBre1	DNA Zoo Consortium	59460	94897118
Sturnira hondurensis	Honduras yellow-shouldered bat	192404	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Stenodermatinae; Sturnira	HLstuHon1	GCA_014824575.1	2136421	10164808
Suncus etruscus	white-toothed pygmy shrew	109475	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Soricidae; Crocidurinae; Suncus	HLsunEtr1	GCF_024139225.1	5042816	131952995
Suricata suricatta	meerkat	37032	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Herpestidae; Suricata	HLsurSur1	GCA_006229205.1	75409	141453419
Suricata suricatta	meerkat	37032	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Herpestidae; Suricata	HLsurSur2	GCA_004023905.1	148487	186735
Sus scrofa	pig	9823	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Suina; Suidae; Sus	susScr11	GCF_000003025.6	48231277	88231837
